2026-03-30 11:37:29.760 | INFO     | signal_scanner.main:main:171 - ============================================================
2026-03-30 11:37:29.761 | INFO     | signal_scanner.main:main:172 - Signal Command Center starting (IBKR-only mode)
2026-03-30 11:37:29.761 | INFO     | signal_scanner.main:main:173 - ============================================================
2026-03-30 11:37:30.055 | INFO     | signal_scanner.database.db_manager:init_db:77 - Database initialized at E:\Quant-Bridge\signal_scanner\data\signals.db
2026-03-30 11:37:30.057 | INFO     | signal_scanner.institutional_intel.intelligence.regime_hmm:load:398 - HMM model loaded from data\warehouse\models\regime_hmm_daily.pkl (fitted 2026-03-30 on SPY)
2026-03-30 11:37:30.058 | INFO     | signal_scanner.paper.idea_bridge:_load_hmm:72 - IdeaBridge: HMM regime model loaded (fitted 2026-03-30)
2026-03-30 11:37:30.085 | DEBUG    | signal_scanner.scanner.multi_symbol_scanner:_load_cached_results:230 - Scan cache stale (590.3h) — ignoring
2026-03-30 11:37:30.201 | INFO     | signal_scanner.scanner.multi_symbol_scanner:_load_intelligence_snapshot:330 - Intelligence snapshot loaded: 3112 tickers from 2025-Q4
2026-03-30 11:37:30.223 | INFO     | signal_scanner.main:main:289 - PREFLIGHT: Connecting to IBKR...
2026-03-30 11:37:32.442 | WARNING  | signal_scanner.core.ibkr_connector:connect_ibkr:126 - IBKR connection failed on port 7497 (clientId=20): ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
2026-03-30 11:37:34.500 | WARNING  | signal_scanner.core.ibkr_connector:connect_ibkr:126 - IBKR connection failed on port 7496 (clientId=20): ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
2026-03-30 11:37:36.540 | WARNING  | signal_scanner.core.ibkr_connector:connect_ibkr:126 - IBKR connection failed on port 4002 (clientId=20): ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
2026-03-30 11:37:38.579 | WARNING  | signal_scanner.core.ibkr_connector:connect_ibkr:126 - IBKR connection failed on port 4001 (clientId=20): ConnectionRefusedError(22, 'The remote computer refused the network connection', None, 1225, None)
2026-03-30 11:37:38.580 | ERROR    | signal_scanner.core.ibkr_connector:connect_ibkr:140 - All IBKR connection attempts failed. Verify TWS/Gateway is running, API is enabled, and socket port is one of 7497/7496/4002/4001. Scanner cannot operate without IBKR.
2026-03-30 11:37:38.580 | ERROR    | signal_scanner.main:main:297 - ============================================================
