symbol,is_russell3000,is_russell1000,is_russell2000,is_sp500,is_nasdaq100,is_custom
A,1,1,0,0,0,0
AA,1,1,0,0,0,0
AAL,1,1,0,0,0,0
AAMI,1,0,1,0,0,0
AAOI,1,0,1,0,0,0
AAON,1,1,0,0,0,0
AAP,1,0,1,0,0,0
AAPL,1,1,0,1,1,1
AARD,0,0,1,0,0,0
AAT,1,0,1,0,0,0
ABAT,1,0,1,0,0,0
ABBV,1,1,0,1,0,0
ABCB,1,0,1,0,0,0
ABEO,0,0,1,0,0,0
ABG,1,0,1,0,0,0
ABM,1,0,1,0,0,0
ABNB,1,1,0,0,1,0
ABR,1,0,1,0,0,0
ABSI,1,0,1,0,0,0
ABT,1,1,0,1,0,0
ABUS,1,0,1,0,0,0
ABX,0,0,1,0,0,0
ACA,1,0,1,0,0,0
ACAD,1,0,1,0,0,0
ACCO,1,0,1,0,0,0
ACDC,1,0,1,0,0,0
ACEL,1,0,1,0,0,0
ACGL,1,1,0,0,0,0
ACH,1,0,1,0,0,0
ACHC,1,1,0,0,0,0
ACHR,1,0,1,0,0,0
ACI,1,1,0,0,0,0
ACIC,1,0,1,0,0,0
ACIW,1,0,1,0,0,0
ACLS,1,0,1,0,0,0
ACLX,1,0,1,0,0,0
ACM,1,1,0,0,0,0
ACMR,1,0,1,0,0,0
ACN,1,1,0,1,0,0
ACNB,1,0,1,0,0,0
ACNT,0,0,1,0,0,0
ACR,0,0,1,0,0,0
ACRE,1,0,1,0,0,0
ACRS,0,0,1,0,0,0
ACT,1,0,1,0,0,0
ACTG,1,0,1,0,0,0
ACTU,0,0,1,0,0,0
ACU,0,0,1,0,0,0
ACVA,1,0,1,0,0,0
ADAM,1,0,1,0,0,0
ADBE,1,1,0,1,1,0
ADC,1,1,0,0,0,0
ADCT,1,0,1,0,0,0
ADEA,1,0,1,0,0,0
ADI,1,1,0,1,1,0
ADM,1,1,0,0,0,0
ADMA,1,0,1,0,0,0
ADNT,1,0,1,0,0,0
ADP,1,1,0,1,1,0
ADPT,1,0,1,0,0,0
ADRO,1,0,1,0,0,0
ADSK,1,1,0,0,0,0
ADT,1,1,0,0,0,0
ADTN,1,0,1,0,0,0
ADUS,1,0,1,0,0,0
ADV,1,0,1,0,0,0
AEBI,1,0,1,0,0,0
AEE,1,1,0,0,0,0
AEHR,1,0,1,0,0,0
AEIS,1,0,1,0,0,0
AEO,1,0,1,0,0,0
AEP,1,1,0,0,1,0
AES,1,1,0,0,0,0
AESI,1,0,1,0,0,0
AEVA,1,0,1,0,0,0
AEYE,0,0,1,0,0,0
AFG,1,1,0,0,0,0
AFL,1,1,0,0,0,0
AFRI,0,0,1,0,0,0
AFRM,1,1,0,0,0,0
AGCO,1,1,0,0,0,0
AGIO,1,0,1,0,0,0
AGL,1,0,1,0,0,0
AGM,1,0,1,0,0,0
AGNC,1,1,0,0,0,0
AGO,1,1,0,0,0,0
AGX,1,0,1,0,0,0
AGYS,1,0,1,0,0,0
AHCO,1,0,1,0,0,0
AHH,1,0,1,0,0,0
AHL,0,0,1,0,0,0
AHR,1,0,1,0,0,0
AI,1,0,1,0,0,0
AIG,1,1,0,0,0,0
AII,0,0,1,0,0,0
AIN,1,0,1,0,0,0
AIOT,1,0,1,0,0,0
AIP,1,0,1,0,0,0
AIR,1,0,1,0,0,0
AIRJ,0,0,1,0,0,0
AIRO,0,0,1,0,0,0
AIRS,0,0,1,0,0,0
AISP,0,0,1,0,0,0
AIT,1,1,0,0,0,0
AIV,1,0,1,0,0,0
AIZ,1,1,0,0,0,0
AJG,1,1,0,0,0,0
AKAM,1,1,0,0,0,0
AKBA,1,0,1,0,0,0
AKE,1,0,1,0,0,0
AKR,1,0,1,0,0,0
AL,1,1,0,0,0,0
ALAB,1,1,0,0,0,0
ALB,1,1,0,0,0,0
ALCO,0,0,1,0,0,0
ALDX,1,0,1,0,0,0
ALEC,1,0,1,0,0,0
ALEX,1,0,1,0,0,0
ALG,1,0,1,0,0,0
ALGM,1,1,0,0,0,0
ALGN,1,1,0,0,0,0
ALGT,1,0,1,0,0,0
ALH,1,0,1,0,0,0
ALHC,1,0,1,0,0,0
ALIT,1,0,1,0,0,0
ALK,1,1,0,0,0,0
ALKS,1,0,1,0,0,0
ALKT,1,0,1,0,0,0
ALL,1,1,0,0,0,0
ALLE,1,1,0,0,0,0
ALLO,1,0,1,0,0,0
ALLY,1,1,0,0,0,0
ALMS,1,0,1,0,0,0
ALMU,0,0,1,0,0,0
ALNT,1,0,1,0,0,0
ALNY,1,1,0,0,0,0
ALRM,1,0,1,0,0,0
ALRS,1,0,1,0,0,0
ALSN,1,1,0,0,0,0
ALT,1,0,1,0,0,0
ALTG,1,0,1,0,0,0
ALTI,0,0,1,0,0,0
ALX,1,0,1,0,0,0
AM,1,1,0,0,0,0
AMAL,1,0,1,0,0,0
AMAT,1,1,0,1,1,0
AMBA,1,0,1,0,0,0
AMBP,1,0,1,0,0,0
AMBQ,0,0,1,0,0,0
AMC,1,0,1,0,0,0
AMCR,1,1,0,0,0,0
AMCX,1,0,1,0,0,0
AMD,1,1,0,1,1,1
AME,1,1,0,0,0,0
AMG,1,1,0,0,0,0
AMGN,1,1,0,1,1,0
AMH,1,1,0,0,0,0
AMKR,1,1,0,0,0,0
AMLX,1,0,1,0,0,0
AMN,1,0,1,0,0,0
AMP,1,1,0,0,0,0
AMPH,1,0,1,0,0,0
AMPL,1,0,1,0,0,0
AMPX,1,0,1,0,0,0
AMR,1,0,1,0,0,0
AMRC,1,0,1,0,0,0
AMRX,1,0,1,0,0,0
AMSC,1,0,1,0,0,0
AMSF,1,0,1,0,0,0
AMT,1,1,0,0,0,0
AMTB,1,0,1,0,0,0
AMTM,1,1,0,0,0,0
AMWD,1,0,1,0,0,0
AMZN,1,1,0,1,1,0
AN,1,1,0,0,0,0
ANAB,1,0,1,0,0,0
ANDE,1,0,1,0,0,0
ANET,1,1,0,0,0,0
ANF,1,0,1,0,0,0
ANGI,1,0,1,0,0,0
ANGO,1,0,1,0,0,0
ANIK,1,0,1,0,0,0
ANIP,1,0,1,0,0,0
ANNX,1,0,1,0,0,0
ANSS,0,0,0,0,1,0
AOMR,0,0,1,0,0,0
AON,1,1,0,1,0,0
AORT,1,0,1,0,0,0
AOS,1,1,0,0,0,0
AOSL,1,0,1,0,0,0
AOUT,0,0,1,0,0,0
APA,1,1,0,0,0,0
APAM,1,0,1,0,0,0
APD,1,1,0,0,0,0
APEI,1,0,1,0,0,0
APG,1,1,0,0,0,0
APGE,1,0,1,0,0,0
APH,1,1,0,0,0,0
APLD,1,0,1,0,0,0
APLE,1,0,1,0,0,0
APLS,1,1,0,0,0,0
APO,1,1,0,0,0,0
APOG,1,0,1,0,0,0
APP,1,1,0,0,0,0
APPF,1,1,0,0,0,0
APPN,1,0,1,0,0,0
APPS,1,0,1,0,0,0
APTV,1,1,0,0,0,0
AQST,1,0,1,0,0,0
AR,1,1,0,0,0,0
ARAY,1,0,1,0,0,0
ARCB,1,0,1,0,0,0
ARCT,1,0,1,0,0,0
ARDT,0,0,1,0,0,0
ARDX,1,0,1,0,0,0
ARE,1,1,0,0,0,0
AREN,0,0,1,0,0,0
ARES,1,1,0,0,0,0
ARHS,1,0,1,0,0,0
ARI,1,0,1,0,0,0
ARKO,1,0,1,0,0,0
ARL,0,0,1,0,0,0
ARLO,1,0,1,0,0,0
ARMK,1,1,0,0,0,0
AROC,1,0,1,0,0,0
AROW,1,0,1,0,0,0
ARQ,0,0,1,0,0,0
ARQT,1,0,1,0,0,0
ARR,1,0,1,0,0,0
ARRY,1,0,1,0,0,0
ARVN,1,0,1,0,0,0
ARW,1,1,0,0,0,0
ARWR,1,0,1,0,0,0
AS,1,1,0,0,0,0
ASAN,1,0,1,0,0,0
ASB,1,0,1,0,0,0
ASC,1,0,1,0,0,0
ASGN,1,0,1,0,0,0
ASH,1,1,0,0,0,0
ASIC,0,0,1,0,0,0
ASIX,1,0,1,0,0,0
ASLE,1,0,1,0,0,0
ASO,1,0,1,0,0,0
ASPI,1,0,1,0,0,0
ASPN,1,0,1,0,0,0
ASST,0,0,1,0,0,0
ASTE,1,0,1,0,0,0
ASTH,1,0,1,0,0,0
ASTS,1,1,0,0,0,0
ASUR,1,0,1,0,0,0
ATEC,1,0,1,0,0,0
ATEN,1,0,1,0,0,0
ATEX,1,0,1,0,0,0
ATGE,1,0,1,0,0,0
ATI,1,1,0,0,0,0
ATKR,1,0,1,0,0,0
ATLC,0,0,1,0,0,0
ATLO,0,0,1,0,0,0
ATMU,1,0,1,0,0,0
ATNI,1,0,1,0,0,0
ATO,1,1,0,0,0,0
ATOM,0,0,1,0,0,0
ATR,1,1,0,0,0,0
ATRC,1,0,1,0,0,0
ATRO,1,0,1,0,0,0
ATYR,1,0,1,0,0,0
AU,1,1,0,0,0,0
AUB,1,0,1,0,0,0
AUPH,1,0,1,0,0,0
AUR,1,1,0,0,0,0
AURA,1,0,1,0,0,0
AVA,1,0,1,0,0,0
AVAH,1,0,1,0,0,0
AVAV,1,0,1,0,0,0
AVB,1,1,0,0,0,0
AVBH,0,0,1,0,0,0
AVBP,1,0,1,0,0,0
AVD,1,0,1,0,0,0
AVGO,1,1,0,1,1,0
AVIR,1,0,1,0,0,0
AVNS,1,0,1,0,0,0
AVNT,1,0,1,0,0,0
AVNW,1,0,1,0,0,0
AVO,1,0,1,0,0,0
AVPT,1,0,1,0,0,0
AVR,0,0,1,0,0,0
AVT,1,1,0,0,0,0
AVTR,1,1,0,0,0,0
AVXL,1,0,1,0,0,0
AVY,1,1,0,0,0,0
AWI,1,1,0,0,0,0
AWK,1,1,0,0,0,0
AWR,1,0,1,0,0,0
AX,1,0,1,0,0,0
AXGN,1,0,1,0,0,0
AXON,1,1,0,0,0,0
AXP,1,1,0,1,0,0
AXS,1,1,0,0,0,0
AXSM,1,0,1,0,0,0
AXTA,1,1,0,0,0,0
AYI,1,1,0,0,0,0
AZO,1,1,0,0,0,0
AZTA,1,0,1,0,0,0
AZZ,1,0,1,0,0,0
BA,1,1,0,1,0,0
BAC,1,1,0,1,0,0
BAH,1,1,0,0,0,0
BALL,1,1,0,0,0,0
BALY,0,0,1,0,0,0
BAM,1,1,0,0,0,0
BANC,1,0,1,0,0,0
BAND,1,0,1,0,0,0
BANF,1,0,1,0,0,0
BANR,1,0,1,0,0,0
BARK,0,0,1,0,0,0
BATRA,1,0,1,0,0,0
BATRK,1,0,1,0,0,0
BAX,1,1,0,0,0,0
BBAI,1,0,1,0,0,0
BBBY,1,0,1,0,0,0
BBCP,0,0,1,0,0,0
BBIO,1,0,1,0,0,0
BBNX,1,0,1,0,0,0
BBSI,1,0,1,0,0,0
BBT,1,0,1,0,0,0
BBUC,1,0,1,0,0,0
BBW,1,0,1,0,0,0
BBWI,1,1,0,0,0,0
BBY,1,1,0,0,0,0
BC,1,1,0,0,0,0
BCAL,1,0,1,0,0,0
BCAX,1,0,1,0,0,0
BCBP,1,0,1,0,0,0
BCC,1,0,1,0,0,0
BCML,1,0,1,0,0,0
BCO,1,0,1,0,0,0
BCPC,1,0,1,0,0,0
BCRX,1,0,1,0,0,0
BDC,1,0,1,0,0,0
BDN,1,0,1,0,0,0
BDX,1,1,0,0,0,0
BE,1,0,1,0,0,0
BEAM,1,0,1,0,0,0
BEEP,0,0,1,0,0,0
BELFA,0,0,1,0,0,0
BELFB,1,0,1,0,0,0
BEN,1,1,0,0,0,0
BEPC,1,1,0,0,0,0
BETR,1,0,1,0,0,0
BF.B,1,1,0,0,0,0
BFA,1,1,0,0,0,0
BFAM,1,1,0,0,0,0
BFC,1,0,1,0,0,0
BFH,1,0,1,0,0,0
BFLY,1,0,1,0,0,0
BFS,1,0,1,0,0,0
BFST,1,0,1,0,0,0
BG,1,1,0,0,0,0
BGC,1,0,1,0,0,0
BGS,1,0,1,0,0,0
BH,0,0,1,0,0,0
BHB,1,0,1,0,0,0
BHE,1,0,1,0,0,0
BHF,1,1,0,0,0,0
BHR,1,0,1,0,0,0
BHRB,1,0,1,0,0,0
BHVN,1,0,1,0,0,0
BIIB,1,1,0,0,1,0
BILL,1,1,0,0,0,0
BIO,1,1,0,0,0,0
BIOA,0,0,1,0,0,0
BIPC,1,0,1,0,0,0
BIRK,1,1,0,0,0,0
BJ,1,1,0,0,0,0
BJRI,1,0,1,0,0,0
BK,1,1,0,0,0,0
BKD,1,0,1,0,0,0
BKE,1,0,1,0,0,0
BKH,1,0,1,0,0,0
BKKT,0,0,1,0,0,0
